Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
CONFIDENT AMAZE,Confident Projects Residential,Residential (Apartment),2024-04-02,2029-04-02,K-RERA/PRJ/TVM/056/2024,2024-03-12,156,109,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
DD GLOBAL KINGDOM,DESAI HOMES,Residential (Apartment),2024-04-15,2028-08-31,K-RERA/PRJ/ERN/061/2024,2024-03-18,128,56,Inprogress,Ernakulam,CHOORNIKKARA,Aluva
VICTORIA REALTORS UDAYAM,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2023-10-31,2028-10-31,K-RERA/PRJ/PKD/200/2023,2023-11-06,32,18,Inprogress,Palakkad,VANIYAKULAM II,Ottappalam
Sobha Atlantis Phase 2 block 1 and 2,Sobha Limited,Residential (Apartment),2017-03-16,2029-12-31,K-RERA/PRJ/ERN/040/2024,2024-02-13,192,40,Inprogress,Ernakulam,NADAMA,Kanayannur
ARCON PLATINUM HEIGHTS,ARCON HOME BUILDERS PRIVATE LIMITED,Residential (Apartment),2023-11-27,2028-11-30,K-RERA/PRJ/TVM/226/2023,2023-12-05,69,23,Inprogress,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
SMS MAPLE,SMS BUILDERS,Residential (Apartment),2023-12-11,2028-05-06,K-RERA/PRJ/ERN/231/2023,2023-12-13,20,6,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
ASSET SERENITY,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2024-01-15,2028-10-15,K-RERA/PRJ/KTM/238/2023,2023-12-22,74,23,Inprogress,Kottayam,MUTTAMBALAM,Kottayam
CONDOR DAHLIA,CONDOR BUILDERS PVT LTD,Residential (Apartment),2024-01-01,2028-07-01,K-RERA/PRJ/TVM/047/2024,2024-02-22,52,2,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
Hanco Krishna Leela Residency,Hanco Property Developers Pvt Ltd,Residential (Apartment),2024-02-01,2028-01-19,K-RERA/PRJ/PKD/025/2024,2024-01-29,16,2,Inprogress,Palakkad,PALAKKAD I,Palakkad
PURSUIT OF HAPPINESS,UNINEST DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2024-01-01,2027-03-31,K-RERA/PRJ/ALP/053/2024,2024-03-01,12,7,Inprogress,Alappuzha,KOMALAPURAM,Ambalappuzha
DREAMFLOWER VALENTIA,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2022-02-17,2025-12-30,K-RERA/PRJ/ERN/240/2023,2023-12-22,16,16,Completed,Ernakulam,VAZHAKKALA,Kanayannur
OMG THE PLATINUM VILLAS,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2023-12-21,2028-12-17,K-RERA/PRJ/PKD/030/2024,2024-02-12,8,5,Inprogress,Palakkad,MARUTHUROAD,Palakkad
CORDON CRYSTAL PARK,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,Residential (Apartment),2024-01-08,2028-12-19,K-RERA/PRJ/TVM/018/2024,2024-01-18,50,39,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
GRACELAND FOUNDATIONS,GRACELAND FOUNDATIONS,Residential (Apartment),2016-01-10,2017-04-07,K-RERA/PRJ/ERN/072/2024,2024-04-06,56,56,Completed,Ernakulam,MULAMTHURUTHY,Kanayannur
KARIPPERIPARAMBIL GARDENS,SURESH  K,Plots,2023-05-07,2024-03-12,K-RERA/PRJ/TSR/152/2024,2024-07-29,,0,Inprogress,Thrissur,VALLACHIRA,Thrissur
Reigate Bluemont Park,REIGATE BUILDERS PRIVATE LIMITED,Residential (Apartment),2023-12-21,2026-12-21,K-RERA/PRJ/KKD/033/2024,2024-02-12,14,13,Inprogress,Kozhikode,CHEVAYUR,Kozhikode
SHANOOR EMBASSY SQUARE,SHANOOR PROJECTS AND REALTORS PVT LTD,Plots,2024-01-01,2029-01-30,K-RERA/PRJ/TVM/021/2024,2024-01-19,,23,Inprogress,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
THE HEAVEN HILLS,PNR HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2024-02-01,2027-01-15,K-RERA/PRJ/TVM/045/2024,2024-02-16,28,18,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
INDEL KARIYATH HEIGHTS,INDEL INFRA PROJECTS,Mixed (Commercial & Residential),2024-02-01,2028-01-31,K-RERA/PRJ/TVM/048/2024,2024-02-28,13,0,Inprogress,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
EDEN GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,Plots,2024-01-26,2025-01-26,K-RERA/PRJ/TVM/078/2024,2024-04-12,,11,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
GD CHAITHANYA APARTMENTS AND GD CENTRE,GD BUILDERS,Mixed (Commercial & Residential),2024-02-15,2029-01-20,K-RERA/PRJ/ERN/051/2024,2024-03-01,37,23,Inprogress,Ernakulam,NADAMA,Kanayannur
THE SILICON DRIVE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2024-02-06,2027-06-30,K-RERA/PRJ/TVM/038/2024,2024-02-13,99,67,Inprogress,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
ARCON MAY DEW,ARCON HOME DEVELOPERS PVT LTD,Villas (Plots & Buildings),2024-04-15,2028-04-15,K-RERA/PRJ/TVM/084/2024,2024-04-24,6,5,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
Adithya Paradise,Rajesh Kumar  Krishnan,Residential (Apartment),2024-04-15,2026-12-31,K-RERA/PRJ/TVM/052/2024,2024-03-01,8,0,Completed,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
FORUS LAVENDER,FORUS INITIATIVES,Residential (Apartment),2024-04-01,2028-04-27,K-RERA/PRJ/TSR/068/2024,2024-03-30,42,22,Inprogress,Thrissur,CHEMBUKAVU,Thrissur
THE PARK VIEW BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2024-03-25,2027-06-30,K-RERA/PRJ/TVM/069/2024,2024-03-30,64,48,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Golden Castle Phase 1,Santhosh Kumar J R,Plots,2023-05-05,2029-11-29,K-RERA/PRJ/TVM/092/2024,2024-05-15,,10,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
URBANSCAPE MIDTOWN,Urbanscape Properties LLP,Residential (Apartment),2024-04-14,2028-05-31,K-RERA/PRJ/TVM/073/2024,2024-04-12,84,51,Inprogress,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
CORDIAL VAJRAM,CORDIAL DEVELOPERS PVT LTD,Mixed (Commercial & Residential),2024-06-20,2029-05-09,K-RERA/PRJ/TVM/096/2024,2024-05-17,46,3,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
SWAN GREEN EARTH,SWAN PROPERTY DEVELOPERS INDIA PVT LTD,Plots,2023-06-01,2024-06-01,K-RERA/PRJ/ERN/106/2024,2024-05-24,,15,Completed,Ernakulam,MANAKUNNAM,Kanayannur
GREECE GARDENS BY SREE DHANYA,SREEDHANYA DEVELOPERS AND INFRASTRUCTURES PRIVATE LIMITED,Villas (Plots & Buildings),2024-09-09,2029-09-30,K-RERA/PRJ/TVM/202/2024,2024-10-09,100,35,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Sangamam Valley,Antony  Varghese,Plots,2023-11-02,2024-12-31,K-RERA/PRJ/TVM/251/2024,2024-12-09,,15,Inprogress,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
AZURE VILLAS,AZURE INDIA BUILDERS PRIVATE LIMITED,Villas (Plots & Buildings),2024-04-16,2029-04-15,K-RERA/PRJ/TSR/087/2024,2024-04-30,12,0,Inprogress,Thrissur,PERAMANGALAM,Thrissur
HAVEN,JOHN PAUL REALTY,Residential (Apartment),2024-07-01,2029-02-08,K-RERA/PRJ/ERN/176/2024,2024-09-04,29,4,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
PLOTS,M K DAMODARAN NAIR  ,Plots,2024-01-10,2024-05-20,K-RERA/PRJ/TVM/116/2024,2024-06-19,,0,Inprogress,Thiruvananthapuram,KOLIYACODE,Nedumangad
GOOD EARTH UMANG,GOOD EARTH INDIA INFRA LIMITED,Residential (Apartment),2024-08-01,2028-12-31,K-RERA/PRJ/ERN/145/2024,2024-07-22,68,55,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
VISHRAAM TYKHE,Vishraam Builders and Developers Pvt Ltd,Residential (Apartment),2024-08-16,2029-12-31,K-RERA/PRJ/ERN/123/2024,2024-06-25,74,59,Inprogress,Ernakulam,POONITHURA,Kanayannur
HiLITE OLYMPUS II,HiLITE Builders Pvt Ltd,Residential (Apartment),2025-01-15,2029-06-30,K-RERA/PRJ/KKD/019/2025,2025-02-03,412,359,Inprogress,Kozhikode,OLAVANNA,Kozhikode
Golden Castle Phase 2,Arjun  S,Plots,2024-06-07,2029-07-30,K-RERA/PRJ/TVM/206/2024,2024-10-14,,6,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
CONFIDENT BLISS,Confident Projects Residential,Residential (Apartment),2024-08-17,2029-08-17,K-RERA/PRJ/TSR/134/2024,2024-07-09,176,113,Inprogress,Thrissur,EDAKKUNNI,Thrissur
The Roman Empire,Raja RajanS  ,Plots,2024-06-26,2025-06-30,K-RERA/PRJ/PKD/205/2024,2024-10-14,,7,Completed,Palakkad,KOTTATHARA,Attappadi Tribal
BEACON OASIS,Beacon Projects Pvt Ltd,Residential (Apartment),2024-08-01,2028-01-28,K-RERA/PRJ/TVM/157/2024,2024-08-02,24,1,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
Crown,Chothy's Building Promoters Pvt Ltd,Residential (Apartment),2024-02-02,2029-02-01,K-RERA/PRJ/TVM/085/2024,2024-04-24,37,27,Inprogress,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
SHANOOR RAINBOW CITY PHASE III,SHANOOR PROJECTS AND REALTORS PVT LTD,Plots,2024-02-01,2034-01-30,K-RERA/PRJ/TVM/059/2024,2024-03-12,,4,Inprogress,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM
MALABAR HILLS,OAKHILL LAND DEVELOPERS PRIVATE LIMITED,Plots,2009-03-18,2026-11-28,K-RERA/PRJ/MPM/262/2024,2024-12-23,,54,Inprogress,Malappuram,PERINTALMANNA,Perinthalmanna
Claysys Highlands,CLAYSYS LIFESTYLE PRIVATE LIMITED,Residential (Apartment),2024-02-01,2029-01-14,K-RERA/PRJ/ERN/086/2024,2024-04-29,40,0,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
MALIEKAL GARDENS,TOBY JOSEPH  ,Plots,2024-02-29,2024-07-30,K-RERA/PRJ/ERN/180/2024,2024-09-10,,0,Completed,Ernakulam,KEEZHMAD,Aluva
SREEROSH ORCHARD,SREEROSH DEVELOPERS PVT LTD,Villas (Plots & Buildings),2024-03-01,2029-02-26,K-RERA/PRJ/KNR/091/2024,2024-08-30,38,14,Inprogress,Kannur,CHEMBILODE,Kannur
THE ADDRESS TEMPLE BELL,The Address Builders Pvt Ltd,Residential (Apartment),2024-04-01,2029-12-31,K-RERA/PRJ/TVM/076/2024,2024-04-12,13,0,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
Swan Green Isle,Swan Developers,Plots,2024-04-15,2025-10-10,K-RERA/PRJ/ERN/118/2024,2024-06-21,,0,Completed,Ernakulam,KANAYANNUR,Kanayannur
ASSET ALPZ,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2024-05-01,2026-04-15,K-RERA/PRJ/KTM/101/2024,2024-05-24,15,2,Inprogress,Kottayam,PUTHUPPALLY KOTTAYAM,Kottayam
CORDIAL PUNYAM,CORDIAL HOMES PVT LTD,Mixed (Commercial & Residential),2024-05-13,2028-06-30,K-RERA/PRJ/TVM/083/2024,2024-04-23,62,27,Inprogress,Thiruvananthapuram,THIRUMALA,THIRUVANANTHAPRUAM
Venad Lakeview,Venad Builders and Developers Private Limited,Residential (Apartment),2015-07-03,2024-10-08,K-RERA/PRJ/KLM/199/2024,2024-10-07,30,17,Completed,Kollam,KOLLAM EAST,Kollam
ABAD MAGNIFICENT,ABAD BUILDERS PVT LTD,Residential (Apartment),2024-05-02,2028-09-30,K-RERA/PRJ/ERN/081/2024,2024-04-22,32,16,Inprogress,Ernakulam,POONITHURA,Kanayannur
SHANOOR TULIPS,SHANOOR PROJECTS AND REALTORS PVT LTD,Residential (Apartment),2024-04-01,2030-04-30,K-RERA/PRJ/TVM/088/2024,2024-05-10,84,29,Inprogress,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
ASSET THE LEAF,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2024-06-15,2029-06-15,K-RERA/PRJ/TVM/100/2024,2024-05-22,122,80,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
SOWPARNIKA CANNARY,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2015-05-02,2019-01-15,K-RERA/PRJ/KTM/099/2024,2024-05-20,74,74,Completed,Kottayam,CHANGANNASSERY,Changanassery
HI LIFE INSPIRE,HiLife Builders Pvt Ltd,Residential (Apartment),2024-12-01,2029-06-30,K-RERA/PRJ/TSR/108/2024,2024-05-28,52,15,Inprogress,Thrissur,OLLUKKARA,Thrissur
VIKAS LNN,VIDHYA  R,Residential (Apartment),2018-01-06,2028-01-05,K-RERA/PRJ/TSR/156/2024,2024-08-02,19,7,Inprogress,Thrissur,NELLAI,MUKUNDAPURAM
BHANU BHAVAN BY VARMA,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2024-12-02,2029-12-31,K-RERA/PRJ/ERN/237/2024,2024-11-21,45,27,Inprogress,Ernakulam,NADAMA,Kanayannur
PRAJAPATHYS GREENS VILLAGE,SARIKA  A G,Plots,2024-07-01,2029-07-01,K-RERA/PRJ/TVM/141/2024,2024-07-19,,17,Completed,Thiruvananthapuram,VILAVOORKAL,KATTAKADA
BUILTECH AURA,KRISHNAN  RAJAN,Residential (Apartment),2024-05-20,2028-05-20,K-RERA/PRJ/PKD/127/2024,2024-06-28,116,46,Inprogress,Palakkad,PALAKKAD-2,Palakkad
Aishwarya Vista,ASTRIDE BUILDERS,Residential (Apartment),2014-07-23,2019-01-10,K-RERA/PRJ/TVM/236/2024,2024-11-18,49,49,Inprogress,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
ELITE HOMES AND REALTY,ELITE HOMES&REALTY,Mixed (Commercial & Residential),2015-08-01,2021-09-03,K-RERA/PRJ/TSR/155/2024,2024-08-01,17,15,Inprogress,Thrissur,THRISSUR,Thrissur
Gardens,ANU  SHAJI,Plots,2024-09-01,2026-02-16,K-RERA/PRJ/KTM/190/2024,2024-09-24,,1,Inprogress,Kottayam,VALLICHIRA,Meenachil
Park Avenue Premium Appartments,Babu Majeed P M,Residential (Apartment),2017-09-26,2022-12-20,K-RERA/PRJ/TSR/151/2024,2024-07-29,10,9,Completed,Thrissur,GURUVAYUR,Chavakkad
ROSE GARDEN PHASE I,ANIL KUMAR O M,Plots,2024-08-01,2029-07-07,K-RERA/PRJ/TSR/231/2024,2024-11-18,,0,Inprogress,Thrissur,NENMANIKKARA,MUKUNDAPURAM
PARADISE,SWASTHI HOMES,Residential (Apartment),2024-09-02,2029-05-31,K-RERA/PRJ/ERN/162/2024,2024-08-12,20,5,Inprogress,Ernakulam,NADAMA,Kanayannur
MABCO OPULENCE,MABCO DEVELOPERS LLP,Villas (Plots & Buildings),2024-08-31,2027-08-31,K-RERA/PRJ/MPM/191/2024,2024-09-24,15,13,Inprogress,Malappuram,PERINTALMANNA,Perinthalmanna
MERLIN AMALA HEIGHTS,ITTIACHEN  VL,Mixed (Commercial & Residential),2010-07-31,2019-07-30,K-RERA/PRJ/TSR/209/2024,2024-10-18,24,22,Inprogress,Thrissur,PUZHAKKAL,Thrissur
Anns Garden,VARGHESE EDAKKERIYIL PATHROSE,Plots,2024-09-15,2026-09-14,K-RERA/PRJ/ERN/194/2024,2024-09-28,,0,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
GREHA FIVE ELEMENTS,GREHA HOMES PVT LTD,Mixed (Commercial & Residential),2024-01-01,2025-12-31,K-RERA/PRJ/ERN/212/2024,2024-10-23,14,9,Completed,Ernakulam,ELAMKULAM,Kanayannur
SHADES - CEDAR HEIGHTS,BINOY  ABRAHAM,Residential (Apartment),2024-12-28,2030-12-30,K-RERA/PRJ/ERN/080/2025,2025-07-04,60,0,Inprogress,Ernakulam,KOTHAMANGALAM,Kothamangalam
SPAN HOMES DHALAM,OTTAPPALAM SPAN HOMES OPC PRIVATE LIMITED,Residential (Apartment),2024-04-08,2029-04-07,K-RERA/PRJ/PKD/244/2024,2024-11-26,16,0,Inprogress,Palakkad,OTTAPALAM II,Ottappalam
JJ VISTARA,JJ Builders & Developers,Mixed (Commercial & Residential),2024-11-10,2029-05-09,K-RERA/PRJ/TVM/230/2024,2024-11-18,84,10,Inprogress,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
THE ARTLE,BUILDOWN DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2024-10-01,2030-12-31,K-RERA/PRJ/TVM/222/2024,2024-11-05,34,15,Inprogress,Thiruvananthapuram,VEMBAYAM,Nedumangad
ARCON CYBER HEIGHTS,ARCON HOME BUILDERS PRIVATE LIMITED,Mixed (Commercial & Residential),2024-10-17,2029-12-31,K-RERA/PRJ/TVM/210/2024,2024-10-22,120,40,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
ATARASHII SERENITY,Powerlink Builders Pvt Ltd,Residential (Apartment),2024-11-15,2028-10-03,K-RERA/PRJ/TVM/224/2024,2024-11-06,39,5,Inprogress,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
Land Links Pearl,Sethumadhavan  K S,Residential (Apartment),2023-01-01,2027-12-30,K-RERA/PRJ/PKD/008/2025,2025-01-09,44,0,Inprogress,Palakkad,MARUTHUROAD,Palakkad
Paithrika Navami,Paithrika Homes And Estates Pvt Ltd,Villas (Plots & Buildings),2024-10-24,2027-10-24,K-RERA/PRJ/TVM/014/2025,2025-01-23,0,1,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
Providence Surabhi,Providence Lifespace,Residential (Apartment),2024-12-10,2028-12-03,K-RERA/PRJ/ERN/233/2024,2024-11-18,31,12,Inprogress,Ernakulam,ANGAMALY,Aluva
FORMZ PLUS MANOR,FORMZ PROJECTS PVT LTD,Residential (Apartment),2024-11-01,2028-04-30,K-RERA/PRJ/MPM/255/2024,2024-12-17,32,9,Inprogress,Malappuram,TIRUR,Tirur
TRAVANCORE GARDENS,Levita Developers LLP,Villas (Plots & Buildings),2024-12-01,2027-12-31,K-RERA/PRJ/TVM/246/2024,2024-12-05,14,0,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
SANTHOSH CONSTRUCTIONS AND LORRY SERVISES,K K PILLAI  ,Plots,2024-05-24,2024-05-31,K-RERA/PRJ/TVM/208/2024,2024-10-18,,0,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
VICTORIA REALTORS PRIYAM,DHARMIC LIVING PVT LTD,Plots,2024-06-30,2029-06-30,K-RERA/PRJ/TSR/129/2024,2024-07-02,,0,Inprogress,Thrissur,PERAMANGALAM,Thrissur
Silent Valley,Aji Kumar S,Villas (Plots & Buildings),2023-10-18,2025-09-12,K-RERA/PRJ/TVM/167/2024,2024-08-23,19,0,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
Campus Heights,M/s Kem Builders,Plots,2024-02-03,2026-07-01,K-RERA/PRJ/ERN/140/2024,2024-07-19,,3,Inprogress,Ernakulam,ALUVA WEST,Aluva
ASSET BUTTERFLIES,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2024-10-01,2029-10-01,K-RERA/PRJ/ERN/196/2024,2024-09-28,71,44,Inprogress,Ernakulam,KAKKANAD,Kanayannur
Lekshya Plots,Philomina  Thomas,Plots,2024-02-13,2025-06-30,K-RERA/PRJ/TVM/165/2024,2024-08-19,,6,Inprogress,Thiruvananthapuram,VEMBAYAM,Nedumangad
VICTORIA REALTORS ANCHANAM,DHARMIC LIVING PVT LTD,Plots,2024-08-05,2029-07-31,K-RERA/PRJ/TSR/185/2024,2024-09-19,,20,Inprogress,Thrissur,AVANNUR,Thrissur
VISHRAAM CITYLITE,VISHRAAM BUILDERS,Residential (Apartment),2024-08-15,2028-12-31,K-RERA/PRJ/TSR/195/2024,2024-09-28,24,22,Inprogress,Thrissur,THRISSUR,Thrissur
ORIDAM,CHATEAU KAVE BUILD WORKS OPC PRIVATE LIMITED,Plots,2024-10-01,2026-08-04,K-RERA/PRJ/ERN/188/2024,2024-09-19,,26,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
Harmony Heights,Chinnamma  David,Plots,2024-08-20,2024-12-20,K-RERA/PRJ/ERN/171/2024,2024-09-02,,0,Inprogress,Ernakulam,THIRUVANIYOOR,Kunnathunad
AC MANUELS,AC CITY PROJECTS PVT LTD,Residential (Apartment),2024-08-17,2028-03-31,K-RERA/PRJ/ERN/174/2024,2024-09-03,21,12,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
SILVER HILLS,PREMLAL  CHANDRAN,Plots,2019-02-23,2027-02-21,K-RERA/PRJ/TSR/261/2024,2024-12-23,,73,Inprogress,Thrissur,KOLAZHY,Thrissur
MARITIME PRIME,MARITIME BUILDERS PRIVATE LIMITED,Mixed (Commercial & Residential),2024-11-30,2026-11-29,K-RERA/PRJ/ERN/197/2024,2024-09-28,17,14,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
READYHUT ELEGANZA,ABDUL NAZAR UMMER PUZHACKERA  ,Plots,2024-02-01,2027-01-06,K-RERA/PRJ/KKD/211/2024,2024-10-22,,4,Inprogress,Kozhikode,VALAYANAD,Kozhikode
Skyline Hilltop,M/s Skyline Builders,Residential (Apartment),2024-10-01,2029-10-01,K-RERA/PRJ/ERN/183/2024,2024-09-19,102,58,Inprogress,Ernakulam,ELOOR,Paravur
Abad Tanzeel Green,ABAD BUILDERS PVT LTD,Residential (Apartment),2014-03-05,2019-08-09,K-RERA/PRJ/ERN/225/2024,2024-11-08,1,1,Completed,Ernakulam,ELAMKULAM,Kanayannur
CORDIAL LEORA,Cordial Properties India Pvt Ltd,Residential (Apartment),2024-11-16,2029-06-30,K-RERA/PRJ/TVM/215/2024,2024-10-28,54,25,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
Kiwano Villas,Chameri Builders and Developers,Villas (Plots & Buildings),2025-05-05,2026-12-31,K-RERA/PRJ/KNR/075/2025,2025-06-21,9,2,Inprogress,Kannur,KODIYERI,Thalassery
Oceanus Ample Grace,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2024-12-02,2029-10-22,K-RERA/PRJ/TVM/235/2024,2024-11-18,82,30,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
OMG BLOOMING DALE,OMG PROPERTIES,Villas (Plots & Buildings),2024-10-22,2029-10-21,K-RERA/PRJ/PKD/234/2024,2024-11-18,8,6,Inprogress,Palakkad,PALAKKAD-2,Palakkad
SUN FELICIA,SUN PROJECTS INDIA PRIVATE LIMITED,Residential (Apartment),2024-12-06,2029-10-23,K-RERA/PRJ/TVM/241/2024,2024-11-26,44,6,Inprogress,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
GREEN VIEW,SALIM P RAJAN,Plots,2023-07-10,2024-12-09,K-RERA/PRJ/ERN/138/2023,2023-08-07,,4,Inprogress,Ernakulam,MULAMTHURUTHY,Kanayannur
Oasis Villas,R A SALIM  ,Residential (Apartment),2023-02-25,2028-02-24,K-RERA/PRJ/TSR/136/2024,2024-07-12,0,0,Inprogress,Thrissur,POOKODE,Chavakkad
IMPACT MILESTONE TOWER B,ROBINSON PROPERTIES INTERNATIONAL PVT LTD,Residential (Apartment),2023-09-11,2027-02-28,K-RERA/PRJ/TVM/173/2023,2023-09-23,80,16,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Aspire Mansions,ASPIRE MANSIONS OPC PRIVATE LIMITED,Residential (Apartment),2023-10-01,2026-05-31,K-RERA/PRJ/TVM/160/2023,2023-09-12,9,0,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
White Maanor,Chothy's Building Promoters Pvt Ltd,Residential (Apartment),2021-08-25,2027-08-24,K-RERA/PRJ/TVM/153/2023,2023-09-07,27,20,Inprogress,Thiruvananthapuram,MANACAUD,THIRUVANANTHAPRUAM
SPARKLE SCAPES,SPARKLE HOMES,Residential (Apartment),2015-06-15,2017-12-22,K-RERA/PRJ/ERN/166/2023,2023-09-18,15,15,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
MOON VALLEY,BUILDOWN DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2023-07-24,2027-12-27,K-RERA/PRJ/ERN/149/2023,2023-09-07,17,9,Inprogress,Ernakulam,KAKKANAD,Kanayannur
THE CYBER BAY BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Mixed (Commercial & Residential),2023-09-18,2026-12-31,K-RERA/PRJ/TVM/171/2023,2023-09-23,56,35,Inprogress,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
DEODATE MERCEDES,DEODATE ENVIRONMENTAL HOMES PVT LTD,Villas (Plots & Buildings),2023-09-21,2028-09-20,K-RERA/PRJ/TVM/036/2024,2024-02-12,11,0,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
Navera Regalia,Navera Builders Private Limited,Residential (Apartment),2023-07-24,2027-12-31,K-RERA/PRJ/TSR/216/2023,2023-11-22,26,9,Inprogress,Thrissur,CHIYYARAM,Thrissur
Sophia Aspire,Joyce  George,Villas (Plots & Buildings),2022-09-30,2025-10-02,K-RERA/PRJ/ERN/181/2023,2023-10-12,9,0,Completed,Ernakulam,VADAVUKODE,Kunnathunad
SFS SKY GARDEN,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2023-10-16,2027-12-31,K-RERA/PRJ/TVM/184/2023,2023-10-18,58,44,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
Seasaga Living,SEASAGA ENTERPRISES PVT LTD,Villas (Plots & Buildings),2023-05-16,2026-10-17,K-RERA/PRJ/ERN/236/2023,2023-12-19,11,1,Inprogress,Ernakulam,CHENGAMANAD,Aluva
SHANOOR SKYVILLA,SHANOOR PROJECTS AND REALTORS PVT LTD,Residential (Apartment),2023-10-01,2029-10-30,K-RERA/PRJ/TVM/198/2023,2023-11-02,77,22,Inprogress,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
